"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","OK","Oklahoma","Woods","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","23.6",,,"19.8","27.7","8,564","6,777","40151","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support","POINT (-98.8645038210662 36.7669182017957)"
"2022","OK","Oklahoma","Greer","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence","50.5",,,"46.4","54.4","5,466","4,363","40055","PREVENT","DENTAL","AgeAdjPrv","Dental Visit","POINT (-99.560687947098 34.9357323398987)"
"2023","OK","Oklahoma","Woodward","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","84.2",,,"81.7","86.6","19,947","15,150","40153","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-99.265301176798 36.422629110699)"
"2023","OK","Oklahoma","Harmon","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","27.4",,,"23.8","31.4","2,392","1,769","40057","HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-99.8462507485967 34.7440546602759)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Disability","Any disability among adults","%","Crude prevalence","37.7",,,"34.0","41.6","682,868","513,124","40143","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-95.9414861647567 36.1210679646417)"
"2022","OK","Oklahoma","Muskogee","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Age-adjusted prevalence","40.6",,,"34.3","46.9","66,677","50,493","40101","RISKBEH","SLEEP","AgeAdjPrv","Short Sleep Duration","POINT (-95.3797854950482 35.6164240462291)"
"2023","OK","Oklahoma","Cimarron","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Age-adjusted prevalence","16.0",,,"12.5","19.7","2,191","1,605","40025","SOCLNEED","FOODINSECU","AgeAdjPrv","Food Insecurity","POINT (-102.517800024169 36.7482645981398)"
"2023","OK","Oklahoma","Love","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","14.4",,,"12.5","16.6","10,296","7,849","40085","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-97.2442389335667 33.9500550048767)"
"2022","OK","Oklahoma","Major","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence","57.7",,,"53.7","61.6","7,581","5,641","40093","PREVENT","DENTAL","AgeAdjPrv","Dental Visit","POINT (-98.5356533809585 36.3117422798628)"
"2023","OK","Oklahoma","Woodward","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.4",,,"15.3","19.7","19,947","15,150","40153","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress","POINT (-99.265301176798 36.422629110699)"
"2023","OK","Oklahoma","Hughes","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","8.2",,,"7.4","9.1","13,436","10,505","40063","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma","POINT (-96.2502172739185 35.0483785704496)"
"2023","OK","Oklahoma","Garvin","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","25.4",,,"21.4","29.3","25,865","19,354","40049","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support","POINT (-97.30936420479 34.704567177109)"
"2023","OK","Oklahoma","Okmulgee","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","5.2",,,"4.6","5.9","37,035","28,317","40111","DISABLT","SELFCARE","CrdPrv","Self-care Disability","POINT (-95.9642441930867 35.6465877154505)"
"2023","OK","Oklahoma","Pontotoc","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence","10.9",,,"9.5","12.6","38,396","28,720","40123","HLTHOUT","DIABETES","AgeAdjPrv","Diabetes","POINT (-96.6840015218125 34.7283176992879)"
"2022","OK","Oklahoma","Cotton","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","67.5",,,"58.0","75.4","5,427","4,179","40033","PREVENT","MAMMOUSE","CrdPrv","Mammography","POINT (-98.3721992106375 34.2900586392925)"
